years_experience_recorded,job_id
3,1
3,1
2,1
1,1
2,1
1,1
1,1
5,1
1,1
1,1
0,1
5,1
3,1
3,1
4,1
5,1
6,1
7,1
2,1
5,1
1,1
5,1
5,1
10,1
10,1
8,1
2,1
5,1
1,1
5,1
2,1
15,1
10,1
5,1
2,1
2,1
2,1
8,1
5,1
2,1
1,1
2,1
3,1
3,1
5,1
6,1
1,1
7,1
2,1
4,1
1,1
2,1
2,1
6,1
1,1
7,1
2,1
4,1
1,1
2,1
2,1
10,1
11,1
8,1
8,1
6,1
10,1
2,1
0,1
6,1
8,1
6,1
10,1
12,1
5,1
2,1
8,1
6,1
10,1
12,1
0,1
1,1
2,1
3,1
4,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
10,1
3,1
4,1
14,1
5,1
10,1
11,1
8,1
8,1
6,1
3,1
4,1
5,1
4,1
2,1
2,1
0,1
1,1
2,1
3,1
4,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
10,1
3,1
4,1
14,1
5,1
10,1
11,1
8,1
8,1
6,1
3,1
4,1
5,1
4,1
2,1
2,1
