education,frequency,job_id,state,report_year
highschool-diploma,0,0,dmv,2024
high-school-diploma,0,0,dmv,2024
associates-degree,0,0,dmv,2024
associate-s-degree,3,0,dmv,2024
bachelors,7,0,dmv,2024
bachelor-s,6,0,dmv,2024
bachelor-s-degree,48,0,dmv,2024
bachelor's,0,0,dmv,2024
bachelors',0,0,dmv,2024
b.s,0,0,dmv,2024
masters,2,0,dmv,2024
master-s,0,0,dmv,2024
master-s-degree,13,0,dmv,2024
master's,0,0,dmv,2024
masters',0,0,dmv,2024
phd,2,0,dmv,2024
ph.d,1,0,dmv,2024
doctoral,0,0,dmv,2024
doctorate,1,0,dmv,2024
