pay_low_end,pay_high_end,job_id,state,report_year
45000,70000,1,dmv,2024
52000,62400,1,dmv,2024
77200,152100,1,dmv,2024
75000,130000,1,dmv,2024
185000,245000,1,dmv,2024
150000,240000,1,dmv,2024
185000,245000,1,dmv,2024
150000,240000,1,dmv,2024
86000,138000,1,dmv,2024
84000,161600,1,dmv,2024
72600,127000,1,dmv,2024
72600,127000,1,dmv,2024
75000,130000,1,dmv,2024
145600,166400,1,dmv,2024
145600,166400,1,dmv,2024
105000,150000,1,dmv,2024
139395,181216,1,dmv,2024
145000,170000,1,dmv,2024
139395,181216,1,dmv,2024
145000,170000,1,dmv,2024
70000,120000,1,dmv,2024
201400,229900,1,dmv,2024
144300,260850,1,dmv,2024
