education,frequency,job_id,state,report_year
highschool-diploma,0,1,dmv,2024
high-school-diploma,11,1,dmv,2024
associates,9,1,dmv,2024
associates-degree,0,1,dmv,2024
associate-s-degree,0,1,dmv,2024
bachelors,7,1,dmv,2024
bachelor-s-degree,42,1,dmv,2024
bachelor's,0,1,dmv,2024
bachelors',0,1,dmv,2024
b.s,0,1,dmv,2024
b.s.,0,1,dmv,2024
masters,5,1,dmv,2024
master-s-degree,0,1,dmv,2024
masters-degree,0,1,dmv,2024
master's,0,1,dmv,2024
masters',0,1,dmv,2024
phd,1,1,dmv,2024
ph.d,0,1,dmv,2024
doctoral,1,1,dmv,2024
